cof,ASA_m^2/g,Density,LS,B,O,C,H,Si,N,S,Ni,Zn,Cu,Co,F,P,Cl,V,Br
19542N2,1581.73,0.662891,27.65854,0.0,0.0,0.5714285714285714,0.2857142857142857,0.0,0.0857142857142857,0.0571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20191N2,2590.76,0.332648,33.01596,0.0,0.0,0.5652173913043478,0.3478260869565217,0.0,0.0434782608695652,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20202N2,2620.64,0.354451,30.65329,0.0,0.0,0.6086956521739131,0.3478260869565217,0.0,0.0434782608695652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19102N2,1706.93,0.578502,23.82296,0.0,0.0,0.631578947368421,0.2631578947368421,0.0,0.1052631578947368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16121N2,1515.8,0.766045,16.31523,0.0,0.1186440677966101,0.4610169491525424,0.2983050847457627,0.0,0.1084745762711864,0.0135593220338983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17040N2,1579.13,0.736546,12.95632,0.0,0.0,0.5945945945945946,0.3513513513513513,0.0,0.054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21250N2,1717.58,0.655304,13.81014,0.0,0.0476190476190476,0.4761904761904761,0.3333333333333333,0.0,0.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15181N2,1586.88,0.520358,31.97817,0.0225988700564971,0.0903954802259887,0.5875706214689266,0.2259887005649717,0.0,0.0677966101694915,0.0,0.0,0.0,0.0056497175141242,0.0,0.0,0.0,0.0,0.0,0.0
16051N2,1718.86,0.606226,20.15685,0.0618556701030927,0.1237113402061855,0.5567010309278351,0.2268041237113402,0.0,0.0206185567010309,0.0103092783505154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18041N3,248.169,1.11611,4.77581,0.0,0.1134751773049645,0.4893617021276595,0.3687943262411347,0.0,0.0283687943262411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16070N2,2033.81,0.69272,16.96964,0.0,0.1304347826086956,0.391304347826087,0.391304347826087,0.0,0.0869565217391304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19200N2,4047.94,0.505368,9.19121,0.0,0.0,0.5625,0.375,0.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16061N2,8560.1,0.116104,23.03655,0.0,0.0251572327044025,0.5345911949685535,0.4150943396226415,0.0,0.0251572327044025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16250N3,7294.22,0.139903,24.43912,0.0,0.0,0.6,0.3652173913043478,0.0,0.0347826086956521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15242N2,1583.16,0.688967,15.43792,0.0,0.0,0.5121951219512195,0.4146341463414634,0.0,0.073170731707317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12022N2,1789.76,0.545355,26.75925,0.036697247706422,0.073394495412844,0.5871559633027523,0.2201834862385321,0.0,0.073394495412844,0.0,0.0,0.0091743119266055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16273N2,2210.93,0.52721,27.58431,0.0,0.0,0.5675675675675675,0.3243243243243243,0.0,0.054054054054054,0.054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20290N2,1413.66,0.84156,8.45883,0.0,0.0,0.5869565217391305,0.3478260869565217,0.0,0.0652173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
