cof,ASA_m^2/g,Density,LS
19542N2,1581.73,0.662891,27.65854
20191N2,2590.76,0.332648,33.01596
20202N2,2620.64,0.354451,30.65329
19102N2,1706.93,0.578502,23.82296
16121N2,1515.8,0.766045,16.31523
17040N2,1579.13,0.736546,12.95632
21250N2,1717.58,0.655304,13.81014
15181N2,1586.88,0.520358,31.97817
16051N2,1718.86,0.606226,20.15685
18041N3,248.169,1.11611,4.77581
16070N2,2033.81,0.69272,16.96964
19200N2,4047.94,0.505368,9.19121
16061N2,8560.1,0.116104,23.03655
16250N3,7294.22,0.139903,24.43912
15242N2,1583.16,0.688967,15.43792
12022N2,1789.76,0.545355,26.75925
16273N2,2210.93,0.52721,27.58431
20290N2,1413.66,0.84156,8.45883
11040N2,2289.34,0.336774,41.2682
16041N2,2427.07,0.572642,13.07656
16174N2,2443.79,0.39397,27.40816
21180N2,1862.29,0.541178,26.30129
14000N2,2006.64,0.68102,11.56182
18031N2,2154.71,0.650729,11.6937
16001N2,1975.4,0.393051,38.28456
13122N2,2328.65,0.402122,27.83853
16060N2,3907.45,0.526648,9.86309
19541N2,2095.89,0.492255,31.58439
19350N2,1627.67,0.754705,11.47456
15090N2,4326.81,0.351937,19.24813
17061N2,1165.32,0.933326,7.88207
20080N2,1584.45,0.621508,24.42986
19180N2,2324.87,0.41863,30.87196
19214N2,2229.15,0.459412,24.8972
17140N2,2144.2,0.517896,19.89057
20650N2,1625.11,0.827493,9.8117
16191N2,3724.98,0.563956,9.08273
14010N2,1994.21,0.628561,14.5452
21170N2,2530.91,0.361855,30.22016
19120N2,2010.02,0.520492,23.32644
21120N2,2282.41,0.350024,34.42603
19291N2,2172.65,0.678609,8.40723
16055N2,1790.36,0.545051,21.95248
21082N2,1792.84,0.50194,28.96942
21071N2,1475.34,0.835057,14.32254
19351N2,1521.5,0.596792,24.79884
20040N2,4379.19,0.357519,20.34648
21290N2,2045.48,0.462772,26.95282
18130N3,1884.04,0.733931,9.07194
19390N2,1746.27,0.673576,15.94271
19573N2,2065.26,0.611617,16.4295
20473N2,2363.41,0.262559,55.49799
19413N2,2061.24,0.426492,32.32912
20142N2,1942.39,0.688552,10.41381
20391N2,2019.79,0.493969,26.02626
17154N2,1457.36,0.615241,20.947
15185N2,1644.56,0.54517,28.61691
15091N2,4175.79,0.375894,17.5939
19110N2,2347.26,0.408741,27.3279
19412N2,1817.51,0.51285,39.33515
17060N2,1690.47,0.748248,11.37505
17130N2,1948.95,0.438993,36.55572
20541N2,230.107,1.44221,5.08862
17210N2,1686.0,0.650728,17.39366
20161N2,1510.49,0.642119,23.75775
19500N2,2219.96,0.400438,33.50006
19510N2,2570.97,0.315673,38.80846
21081N2,1843.17,0.561653,24.39456
12010N2,1699.42,0.626105,18.71848
19453N2,2521.98,0.330288,34.04024
20630N2,2209.77,0.527893,25.99705
16171N2,1847.88,0.641115,17.56245
15160N2,670.966,0.980348,7.45342
15111N2,1316.58,0.588294,32.25806
19050N2,2176.31,0.404282,33.67402
18121N3,899.921,0.933924,6.13559
15210N2,1728.67,0.617226,22.30023
13080N2,1627.5,0.650962,20.43722
19010N2,1491.03,0.802361,10.97505
20430N3,7416.64,0.108766,47.73625
16201N2,2349.13,0.596112,12.95641
20350N2,1494.85,0.765031,13.2482
13120N2,1932.6,0.630497,13.74602
16032N2,2809.77,0.388373,22.30685
17160N3,6692.09,0.165781,21.8567
19061N2,2020.15,0.560777,16.249
15171N2,2393.16,0.676902,7.56527
20181N2,1892.18,0.588678,19.00793
20165N2,2476.89,0.39267,28.08589
14030N2,1923.25,0.385723,41.24391
16054N2,1693.8,0.625073,19.95912
14080N2,2098.94,0.400887,34.47645
18133N3,2876.68,0.619925,8.65257
13071N2,1534.79,0.653124,21.64442
20168N2,1503.82,0.642832,23.57253
17162N3,7152.33,0.155274,21.69652
20090N2,2038.54,0.611145,15.58162
16390N2,3760.79,0.39048,17.83727
19450N2,2185.59,0.373701,33.69974
16010N2,1702.14,0.750297,14.33808
18090N2,2037.51,0.452534,24.82011
20116N3,8264.73,0.108902,28.52567
20564N3,4271.26,0.501099,10.39141
21131N2,1656.61,0.602024,21.07537
20113N3,8800.33,0.102519,28.27167
08020N2,970.813,1.01943,8.94082
19292N2,2504.74,0.580577,17.40725
07000N2,1941.56,0.44676,31.52022
19470N2,2062.72,0.511426,31.50293
15061N2,2430.22,0.533999,17.15189
14051N3,4329.75,0.470513,13.27592
19520N2,2418.24,0.457703,19.71899
19080N2,2017.37,0.62246,17.70188
20120N2,1473.02,0.827221,8.0509
08012N2,1898.56,0.736984,12.73227
20169N2,1708.44,0.577773,23.45658
16057N2,1659.2,0.581344,25.10039
20501N3,1889.33,0.796833,8.53839
20170N2,2359.28,0.532221,17.09377
15100N2,2094.95,0.392046,36.31333
15010N2,2354.05,0.502473,19.54624
11001N2,2314.08,0.666972,6.13588
20590N2,1675.11,0.562376,26.30732
2016aN2,2193.3,0.46089,25.82068
18122N3,1281.93,0.829418,8.03432
16311N2,3853.71,0.489988,9.3168
15070N2,2059.45,0.430698,29.30552
17150N2,1969.71,0.493129,25.62212
21060N2,1551.85,0.617355,24.45582
14050N3,5173.0,0.394807,13.26023
20150N2,2028.32,0.594721,21.27537
17180N2,2415.49,0.52809,13.08541
19456N2,2502.44,0.347252,31.68333
17161N3,5823.03,0.331563,16.46047
12012N2,1601.16,0.667524,18.712
17030N2,2131.77,0.41393,31.79267
20166N2,2148.02,0.466196,26.03906
17220N2,2602.47,0.483209,22.19192
13160N2,4012.26,0.357515,20.10144
15080N2,4810.74,0.416852,11.01506
15030N2,1910.89,0.581115,18.68522
17100N2,1711.51,0.523006,29.31547
16380N2,2490.58,0.311083,40.84931
19430N2,1879.55,0.629044,17.18126
14071N2,2283.26,0.471385,22.92074
18040N3,1948.62,0.766111,7.06143
21012N2,2742.58,0.320409,30.63543
17240N3,2368.71,0.428917,25.60327
15180N2,1603.65,0.562421,27.37273
20600N2,1817.5,0.550916,24.65927
13161N2,4041.19,0.398037,19.0418
20470N2,2148.57,0.543008,24.5783
19330N2,1912.8,0.524054,33.52491
19401N3,7703.98,0.30788,11.5101
16331N2,2337.48,0.393362,30.60553
20580N3,2022.5,0.591588,16.24084
12061N2,1390.14,0.775717,16.97751
19220N2,2782.56,0.300469,37.58462
17131N2,1598.5,0.581978,28.02716
20510N2,2555.56,0.424741,31.98916
16510N2,1700.95,0.747046,9.87643
20544N2,1206.74,0.839587,12.6199
20203N2,2036.07,0.500587,33.14216
19212N2,2455.06,0.412655,26.09972
16230N2,1482.95,0.792045,12.37
16150N2,2009.07,0.522975,22.84674
19420N3,6091.43,0.231505,20.52716
20490N2,2235.85,0.538196,22.80197
19241N3,528.042,0.871072,5.14503
19421N3,6873.74,0.152124,28.07964
18100N2,2555.82,0.352868,33.17197
17181N2,2465.42,0.492864,20.9203
21312N2,2710.11,0.269235,45.47565
21053N2,4024.0,0.352582,20.47649
08000N3,4230.9,0.522061,9.86844
19531N2,4903.27,0.200938,35.06104
18023N3,2276.92,0.621838,11.09613
20091N2,1990.24,0.615988,15.15651
20610N2,2164.66,0.435995,29.25245
15252N2,2062.37,0.520862,22.61732
